protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE1
NCT01765790,1505,1505.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,2,2,1,5,2,17.0,19.0,2,1,1.0,1.0,0.0,0.0,0.0,68,False,1,0,0,0,0,0,0,0,0,0,0,0,1,420.0,420.0,0.175,False,True
NCT02571036,2371,2371.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,3,12,1,26,2,29.0,24.0,2,1,1.0,1.0,0.0,0.0,0.0,282,False,1,0,0,0,0,0,0,0,0,0,0,0,1,720.0,720.0,0.68,False,True
NCT02342613,3107,3230.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,2,1,1,1,0,7.0,11.0,1,0,0.0,1.0,1.0,0.0,0.0,27,False,1,0,0,0,0,0,0,0,0,0,1,0,0,90.0,1095.0,0.68,False,True
NCT03328494,1250,1250.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,3,1,3,1,19.0,25.0,2,1,2.0,1.0,1.0,0.0,0.0,38,False,1,0,0,0,0,0,0,0,0,0,0,1,1,90.0,90.0,0.68,False,True
NCT03892044,1562,1562.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,8,1,1,1,0,14.0,13.0,2,0,0.0,2.0,1.0,0.0,0.0,7,False,1,0,0,0,0,0,0,0,0,0,1,0,0,28.0,1095.0,0.83,False,True
NCT04046614,1824,1939.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,1,1,1,1,25.0,39.0,1,0,0.0,1.0,1.0,0.0,0.0,56,False,1,0,0,0,0,0,0,0,0,0,1,0,1,1410.0,1410.0,0.99,True,False
NCT02575963,2222,2769.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,1,1,17,2,28.0,10.0,4,1,0.0,1.0,0.0,0.0,0.0,40,False,1,0,0,0,0,0,0,0,0,0,1,0,0,52.0,365.0,0.68,True,False
NCT02273713,882,882.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,2,1,1,1,1,12.0,19.0,1,0,0.0,0.0,0.0,0.0,0.0,154,False,1,0,0,0,0,0,0,0,0,0,1,0,1,1080.0,1080.0,0.68,True,False
NCT02657343,1632,2304.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,3,1,2,0,44.0,67.0,4,0,1.0,0.0,1.0,0.0,0.0,25,False,1,0,0,0,0,0,0,0,0,0,1,0,1,579.0,579.0,0.99,True,False
NCT01921335,1673,3804.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,2,2,1,2,0,26.0,12.0,3,0,1.0,0.0,1.0,1.0,0.0,41,False,1,0,0,0,0,0,0,0,0,0,1,0,0,730.0,730.0,0.99,False,True
NCT01606878,2072,2072.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,3,4,0,23,2,47.0,21.0,9,0,1.0,1.0,1.0,0.0,0.0,46,False,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,730.0,0.83,False,True
NCT01964287,1185,2654.0,"(1035.0, 4453.0]","(1232.0, 4453.0]",1,1,1,1,1,1,1,22.0,17.0,2,0,0.0,1.0,0.0,0.0,0.0,78,False,1,0,0,0,0,0,0,0,0,0,1,0,0,540.0,360.0,0.175,True,False
NCT02700360,61,61.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,6,1,1,1,13.0,8.0,2,1,2.0,1.0,0.0,1.0,0.0,36,True,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0.68,False,True
NCT04993040,231,597.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,1,1,1,1,24.0,22.0,1,1,0.0,1.0,0.0,0.0,0.0,24,False,1,0,0,0,0,0,0,0,0,0,1,0,0,28.0,720.0,0.99,False,True
NCT02959619,969,1144.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,2,1,1,1,1,11.0,17.0,1,1,0.0,1.0,1.0,0.0,0.0,48,False,1,0,0,0,0,0,0,0,0,0,0,0,0,360.0,360.0,0.99,False,True
NCT02567656,912,1196.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,2,1,1,8,0,7.0,12.0,1,1,0.0,1.0,0.0,0.0,0.0,58,False,1,0,0,0,0,0,0,0,0,0,0,1,1,28.0,720.0,0.83,False,True
NCT03486314,270,930.0,"(-0.001, 1035.0]","(-0.001, 1232.0]",0,0,1,2,1,4,0,7.0,7.0,5,1,2.0,1.0,0.0,0.0,0.0,20,False,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,21.0,0.68,False,True
