protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE1
NCT03316144,430.0,901.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,3,1,1,1,19.0,25.0,1,0,1.0,1.0,1.0,0.0,0.0,13.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,180.0,180.0,0.83,False,True
NCT01212341,700.0,912.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,2,1,1,1,8.0,7.0,1,0,1.0,1.0,1.0,0.0,0.0,18.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,35.0,35.0,0.83,False,True
NCT01800630,944.0,1065.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,1,1,3,1,28.0,20.0,1,1,0.0,1.0,0.0,0.0,0.0,37.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,,150.0,0.83,False,True
NCT01065025,1916.0,1916.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,2,1,1,2,1,9.0,6.0,1,1,0.0,1.0,1.0,0.0,0.0,60.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0,42.0,0.83,False,True
NCT01588548,730.0,730.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,1,1,3,1,4.0,5.0,1,1,0.0,1.0,1.0,0.0,0.0,43.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,84.0,,0.83,False,True
NCT02650999,1151.0,1624.0,"(29.999, 1310.0]","(1553.0, 8888.0]",1,0,3,1,1,1,0,20.0,33.0,1,0,0.0,1.0,1.0,0.0,0.0,12.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1095.0,90.0,0.83,True,False
NCT01273155,2480.0,2480.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,2,7,1,7,0,16.0,12.0,1,0,1.0,0.0,1.0,0.0,0.0,72.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,28.0,1.0,0.83,False,True
NCT01567475,548.0,1461.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,1,5,1,23.0,26.0,1,0,0.0,1.0,0.0,0.0,0.0,21.0,False,1,0,0,0,0,0,0,0,0,0,1,1,0,730.0,1460.0,0.83,False,True
NCT00396864,1400.0,1400.0,"(1310.0, 8888.0]","(29.999, 1553.0]",0,1,2,1,1,3,0,10.0,14.0,1,1,0.0,1.0,0.0,0.0,0.0,51.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.83,False,True
NCT01473095,2074.0,2106.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,3,0,1,0,0,13.0,17.0,1,1,0.0,1.0,0.0,0.0,0.0,120.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,112.0,112.0,0.83,False,True
NCT00634452,700.0,700.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,1,2,6,0,8.0,9.0,1,1,0.0,1.0,0.0,0.0,0.0,22.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,730.0,730.0,0.83,False,True
NCT01324310,275.0,275.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,1,1,3,2,10.0,50.0,2,1,0.0,1.0,0.0,0.0,0.0,15.0,False,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,36.0,0.83,False,True
NCT01324323,306.0,335.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,1,1,3,2,10.0,50.0,2,1,0.0,1.0,0.0,0.0,0.0,14.0,False,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,36.0,0.83,False,True
NCT03218072,272.0,272.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,1,3,1,0,1,6.0,19.0,1,1,1.0,1.0,0.0,0.0,0.0,12.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,90.0,90.0,0.83,False,True
NCT02740270,1320.0,1320.0,"(1310.0, 8888.0]","(29.999, 1553.0]",0,1,2,2,1,9,2,4.0,11.0,2,1,0.0,1.0,0.0,0.0,0.0,92.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0,1080.0,0.83,False,True
NCT02661542,1770.0,1770.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,2,11,1,2,0,21.0,9.0,1,1,0.0,1.0,0.0,0.0,0.0,99.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,990.0,180.0,0.83,True,False
NCT02048488,1431.0,2069.0,"(1310.0, 8888.0]","(1553.0, 8888.0]",1,1,2,1,1,0,2,15.0,23.0,1,1,0.0,1.0,0.0,0.0,0.0,72.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,730.0,730.0,0.83,True,False
NCT00553189,176.0,1511.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,0,1,1,0,18.0,5.0,2,0,2.0,1.0,0.0,0.0,0.0,31.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.83,False,True
NCT03029338,713.0,1475.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,1,1,1,1,7.0,9.0,1,0,0.0,0.0,0.0,0.0,0.0,20.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,730.0,730.0,0.83,False,True
NCT02578316,365.0,487.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,1,1,0,1,7.0,32.0,1,1,0.0,1.0,0.0,0.0,0.0,6.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,8.0,365.0,0.83,False,True
NCT00788099,912.0,912.0,"(29.999, 1310.0]","(29.999, 1553.0]",0,0,2,2,1,2,2,14.0,31.0,2,1,1.0,1.0,0.0,0.0,0.0,45.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,,,0.83,False,True
