protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,survival_5yr_relative,phase_PHASE1_PHASE2,phase_PHASE2_PHASE3,phase_PHASE2
NCT01874938,365,487.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,3,1,13.0,12.0,1,1.0,0.0,1.0,0.0,1.0,0.0,15.0,False,1,0,0,0,0,0,0,0,0,0,1,1,0,56.0,180.0,0.68,False,False,True
NCT03673657,584,1847.0,"(-0.001, 1127.0]","(1413.0, 4722.0]",1,0,1,1,1,1,1,10.0,3.0,3,0.0,0.0,0.0,1.0,1.0,0.0,67.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,,1095.0,0.99,False,False,True
NCT03925974,1079,1079.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,2,1,1,1,12.0,10.0,3,1.0,1.0,1.0,1.0,0.0,0.0,45.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,365.0,,0.68,False,False,True
NCT01877187,2497,2497.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,2,0,7.0,10.0,1,0.0,0.0,1.0,1.0,1.0,0.0,39.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,180.0,0.175,False,False,True
NCT02320448,884,884.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,1,1,7.0,10.0,1,0.0,0.0,2.0,1.0,1.0,0.0,35.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,150.0,150.0,0.99,False,False,True
NCT03853187,1174,1174.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,1,1,1,1,46.0,52.0,2,0.0,0.0,1.0,0.0,1.0,0.0,20.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,42.0,90.0,0.99,False,False,True
NCT02697032,1393,1393.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,1,1,1,1,1,23.0,17.0,2,0.0,0.0,0.0,1.0,1.0,0.0,22.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0,42.0,0.99,False,False,True
NCT02095132,2470,3381.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,15,1,0,24,2,52.0,22.0,2,0.0,0.0,1.0,1.0,1.0,0.0,76.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0,365.0,0.65,True,False,False
NCT01371201,649,3407.0,"(-0.001, 1127.0]","(1413.0, 4722.0]",1,0,1,2,1,4,1,18.0,20.0,2,0.0,1.0,1.0,1.0,1.0,4.0,78.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,360.0,360.0,0.68,False,False,True
NCT01220271,1583,2041.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,4,1,10,2,14.0,15.0,3,1.0,0.0,1.0,0.0,0.0,0.0,75.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,,360.0,0.68,True,False,False
NCT02478957,274,366.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,3,2,1,8,1,10.0,17.0,2,1.0,2.0,1.0,0.0,1.0,4.0,41.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,42.0,42.0,0.68,False,False,True
NCT01054079,1065,1065.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,2,1,1,1,0,13.0,6.0,4,0.0,0.0,1.0,0.0,1.0,0.0,20.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,168.0,140.0,0.175,False,False,True
NCT01881867,1343,1575.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,4,2,1,16,0,28.0,29.0,2,0.0,1.0,0.0,0.0,1.0,0.0,54.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,77.0,1825.0,0.175,False,False,True
NCT03180437,365,730.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,2,1,1,1,7.0,5.0,2,0.0,1.0,1.0,1.0,1.0,0.0,62.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,730.0,90.0,0.68,True,False,False
NCT01979536,2695,3791.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,4,2,0,154,0,15.0,17.0,9,0.0,1.0,1.0,0.0,1.0,0.0,137.0,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1800.0,730.0,0.83,False,False,True
NCT04405349,1241,1241.0,"(1127.0, 4695.0]","(-0.001, 1413.0]",0,1,2,1,1,21,1,13.0,22.0,2,1.0,0.0,1.0,0.0,1.0,0.0,52.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,365.0,365.0,0.175,False,False,True
NCT01723839,3394,3394.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,1,1,1,1,0,29.0,11.0,1,0.0,0.0,1.0,1.0,1.0,0.0,21.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,28.0,0.65,False,False,True
NCT02057640,1454,1454.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,4,1,1,2,0,39.0,32.0,3,0.0,0.0,2.0,1.0,1.0,0.0,16.0,False,1,0,0,0,0,0,0,0,0,0,1,0,0,28.0,1095.0,0.598,True,False,False
NCT02509507,2201,2713.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,4,2,1,32,2,7.0,8.0,2,1.0,2.0,1.0,0.0,0.0,0.0,127.0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,688.1,,0.175,True,False,False
NCT02561273,1495,1861.0,"(1127.0, 4695.0]","(1413.0, 4722.0]",1,1,10,1,1,8,0,38.0,12.0,9,0.0,0.0,1.0,1.0,1.0,0.0,54.0,False,1,0,0,0,0,0,0,0,0,0,1,0,1,150.0,730.0,0.83,True,False,False
NCT02927925,1052,1057.0,"(-0.001, 1127.0]","(-0.001, 1413.0]",0,0,1,1,1,17,1,6.0,10.0,1,1.0,0.0,1.0,0.0,1.0,0.0,32.0,False,1,0,0,0,0,0,0,0,0,0,1,1,1,730.0,730.0,0.83,False,False,True
