protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,max_treatment_duration,min_treatment_duration,survival_5yr_relative,phase_PHASE2_PHASE3,phase_PHASE3
NCT03306264,1262.0,1867.0,"(758.0, 1321.333]","(1783.0, 4722.0]",2,1,3,2,1,84,2,22.0,16.0,2,1,2.0,1,0.0,1.0,0.0,200.0,False,1,0,0,0,0,0,0,1,0,0,1,0,1,540.0,540.0,1095,730,0.65,False,True
NCT01651000,668.0,668.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,3,2,1,1,0,8.0,5.0,2,1,1.0,1,1.0,1.0,2.0,213.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,180.0,180.0,1080,360,0.175,False,True
NCT01307878,3287.0,3287.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,4,2,1,1,1,8.0,7.0,1,0,1.0,0,1.0,1.0,0.0,320.0,False,1,0,0,0,0,0,0,1,0,0,1,0,1,1095.0,1095.0,1080,360,0.175,False,True
NCT02163694,1723.0,3479.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,219,2,8.0,19.0,4,1,1.0,1,1.0,1.0,2.0,509.0,False,1,0,0,0,0,0,0,1,0,0,1,0,0,1065.0,2920.0,1825,365,0.99,False,True
NCT01325571,1157.0,1157.0,"(758.0, 1321.333]","(1004.0, 1783.0]",1,1,1,2,1,0,1,3.0,10.0,2,1,1.0,1,0.0,1.0,4.0,83.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,168.0,168.0,4320,14,0.68,False,True
NCT04870502,487.0,487.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,2,1,1,1,12.0,5.0,1,0,1.0,0,1.0,1.0,0.0,161.0,True,1,0,0,0,0,0,0,1,0,0,0,0,0,105.0,105.0,4320,14,0.68,True,False
NCT01688479,394.0,578.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,1,2,1,1,1,3.0,5.0,2,0,1.0,0,0.0,1.0,4.0,420.0,False,1,0,0,0,0,0,0,1,0,0,0,0,0,56.0,56.0,1825,365,0.99,False,True
NCT03439046,2138.0,2138.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,2,1,41,1,10.0,6.0,4,1,2.0,1,0.0,1.0,0.0,287.0,False,1,0,0,0,0,0,0,1,0,0,0,0,1,1080.0,1080.0,1825,365,0.99,False,True
NCT03652714,348.0,355.0,"(19.999, 758.0]","(90.999, 1004.0]",0,0,2,2,1,5,1,4.0,4.0,2,0,1.0,0,1.0,1.0,4.0,40.0,False,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,7.0,4320,14,0.68,False,True
NCT01781468,2160.0,2388.0,"(1321.333, 4538.0]","(1783.0, 4722.0]",2,2,1,3,1,365,0,14.0,6.0,3,0,1.0,1,1.0,1.0,2.0,328.0,False,0,0,0,1,0,0,0,1,0,0,0,0,1,56.0,56.0,4320,14,0.68,False,True
