study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
901.0,Low,0,3,1,1,1,False,False,13.0,False,False,False,False,1,0,False,False,False,True,False,False,False,False,False,True,False,False,missing
912.0,Low,0,4,1,1,2,False,False,18.0,False,False,False,False,1,0,False,False,False,False,True,False,False,True,False,False,True,False,missing
1065.0,Low,0,5,1,3,2,missing,False,37.0,False,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,True
1916.0,High,1,4,1,2,2,missing,False,60.0,False,False,False,False,1,0,False,False,False,False,True,True,False,True,True,False,True,True,True
730.0,Low,0,1,1,3,2,False,False,43.0,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,missing
1624.0,Low,0,2,1,1,3,missing,False,12.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
2480.0,High,1,13,1,7,2,False,False,72.0,False,False,False,False,1,0,True,True,True,True,True,True,False,True,True,True,True,True,True
1461.0,Low,0,6,1,5,1,missing,False,21.0,False,False,False,False,1,0,False,False,False,False,True,True,False,True,True,False,True,True,True
1400.0,Low,0,5,1,3,2,missing,False,51.0,False,False,False,False,1,0,True,True,False,False,True,False,False,False,False,False,False,False,missing
2106.0,High,1,5,1,0,3,missing,False,120.0,False,False,False,False,1,0,True,True,False,True,False,True,False,True,False,True,False,False,missing
700.0,Low,0,3,1,6,1,missing,False,22.0,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
275.0,Low,0,9,2,3,2,missing,False,15.0,False,False,False,False,0,0,True,True,False,False,False,True,False,True,True,False,True,True,True
335.0,Low,0,9,2,3,2,missing,False,14.0,False,False,False,False,0,0,True,True,False,False,True,True,False,True,True,False,True,True,True
1186.0,Low,0,3,1,1,2,False,False,40.0,False,False,False,False,0,0,True,True,False,False,True,True,False,True,True,False,True,True,False
272.0,Low,0,8,1,0,1,False,False,12.0,False,False,False,False,1,0,False,False,False,True,False,False,False,False,True,True,False,False,True
1320.0,Low,0,11,2,9,2,False,False,92.0,False,False,False,False,1,0,False,True,False,False,False,False,False,False,True,False,False,False,True
1770.0,Low,0,8,1,2,2,False,False,99.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,False,False,True
2069.0,High,1,7,1,0,2,missing,False,72.0,False,False,False,False,1,0,False,True,False,False,True,True,False,True,False,False,False,False,missing
1511.0,Low,0,2,2,1,2,False,False,31.0,False,False,False,False,1,0,True,True,True,False,True,True,False,True,True,False,True,True,False
1475.0,Low,0,5,1,1,2,missing,False,20.0,False,False,False,False,1,0,False,False,False,True,True,False,False,False,False,True,False,False,missing
487.0,Low,0,14,1,0,2,missing,False,6.0,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,False,True,True,True
912.0,Low,0,2,2,2,2,False,False,45.0,False,False,False,False,1,0,False,True,False,False,True,True,False,True,True,False,True,True,True
610.0,Low,0,15,1,1,2,False,False,36.0,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
2007.0,High,1,2,1,2,2,False,False,43.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
1467.0,Low,0,6,1,20,1,missing,False,71.0,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
2270.0,High,1,6,1,7,2,missing,False,156.0,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,False,True,True,missing
3164.0,High,1,5,1,5,1,False,False,20.0,False,False,False,False,1,0,False,False,False,False,False,False,False,True,False,False,True,False,missing
940.0,Low,0,7,3,0,1,False,False,33.0,False,False,False,False,1,0,True,True,False,True,False,True,False,True,True,True,True,False,True
979.0,Low,0,2,1,1,2,missing,False,24.0,False,False,False,False,1,0,False,False,False,False,True,True,False,True,True,False,False,False,True
1249.0,Low,0,1,6,2,2,missing,False,26.0,False,False,False,False,1,0,True,True,False,True,False,False,False,False,False,True,False,False,missing
2496.0,High,1,2,1,0,1,missing,False,10.0,False,False,False,False,1,0,False,False,False,False,False,True,False,True,False,False,False,False,missing
