study_duration_days,study_eq_bins,study_eq_labels,num_oms,number_of_intervention_types,num_locations,number_of_conditions,allocation,masking,enroll_count,biological_intervention,procedure_intervention,drug_intervention,radiation_intervention,treatment_purpose,prevention_purpose,us_led,us_included,nci_sponsor,spacy_aes_outcome,spacy_osr_outcome,spacy_mtd_outcome,spacy_dor_outcome,spacy_dlt_outcome,spacy_cmax_outcome,spacy_aes_lead_outcome,spacy_dlt_lead_outcome,spacy_mtd_lead_outcome,spacy_tmax_outcome
276.0,Low,0,4,1,1,1,True,False,60,False,False,False,False,1,0,False,False,False,True,False,False,False,False,False,True,False,False,missing
1400.0,High,1,3,1,6,1,False,False,22,False,False,False,False,1,0,True,True,False,True,False,False,False,False,True,True,False,False,True
62.0,Low,0,27,2,0,1,missing,False,15,False,False,False,False,0,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
1931.0,High,1,23,3,26,1,False,False,182,False,False,False,False,1,0,False,True,False,True,True,True,False,True,True,True,True,True,True
502.0,Low,0,2,2,1,1,missing,False,13,False,False,False,False,1,0,True,True,False,False,False,False,False,False,False,False,False,False,missing
1609.0,High,1,29,4,30,2,False,False,212,False,False,False,False,1,0,False,True,False,True,True,True,False,True,True,True,True,True,True
121.0,Low,0,2,2,1,1,True,True,20,False,False,False,False,0,1,False,False,False,True,False,False,False,False,True,True,False,False,True
641.0,Low,0,4,1,1,2,missing,False,15,False,False,False,False,1,0,False,False,False,True,False,False,False,False,True,True,False,False,True
1178.0,Low,0,5,1,5,1,missing,False,11,False,False,False,False,1,0,True,True,False,False,True,True,False,True,False,False,True,True,missing
1105.0,Low,0,7,1,1,1,missing,False,33,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
2087.0,High,1,4,2,1,2,missing,False,17,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,True,True,True,True
403.0,Low,0,10,2,4,3,True,False,18,False,False,False,False,0,0,True,True,False,True,False,False,False,False,True,False,False,False,True
2290.0,High,1,4,1,1,1,missing,False,30,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,missing
735.0,Low,0,6,2,0,1,missing,False,23,False,False,False,False,0,0,False,False,False,True,False,False,False,False,True,True,False,False,True
1259.0,Low,0,11,2,4,1,missing,False,37,False,False,False,False,1,0,False,False,False,True,True,False,False,True,True,True,True,False,True
3357.0,High,1,17,1,14,1,False,False,225,False,False,False,False,1,0,False,True,False,True,False,True,False,True,True,True,False,False,True
1746.0,High,1,8,1,1,1,missing,False,8,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,False,True,True,True
1478.0,High,1,5,1,3,3,missing,False,15,False,False,False,False,1,0,False,False,False,True,True,True,False,True,True,True,True,True,True
2710.0,High,1,2,1,2,1,missing,False,26,False,False,False,False,1,0,True,True,False,False,True,True,False,True,True,False,True,True,True
1308.0,Low,0,11,2,10,21,False,False,78,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
2068.0,High,1,1,1,1,1,missing,False,12,False,False,False,False,1,0,True,True,False,True,False,False,False,False,False,True,False,False,missing
858.0,Low,0,1,4,4,4,missing,False,10,False,False,False,False,1,0,True,True,False,False,False,False,False,True,False,False,True,False,missing
1400.0,High,1,3,1,0,1,missing,False,46,False,False,False,False,1,0,False,False,False,False,True,True,False,True,False,False,False,False,missing
1057.0,Low,0,4,2,3,2,False,False,37,False,False,False,False,1,0,True,True,False,True,False,True,False,True,True,True,False,False,True
1652.0,High,1,4,3,1,9,False,False,32,False,False,False,False,1,0,True,True,False,True,True,True,False,True,False,True,True,True,missing
759.0,Low,0,7,3,1,1,False,False,10,False,False,False,False,1,0,False,False,False,True,False,True,False,True,True,False,True,True,True
855.0,Low,0,9,1,7,1,False,False,40,False,False,False,False,1,0,True,True,False,True,True,False,False,True,True,True,True,False,True
2602.0,High,1,6,4,1,5,False,False,21,False,False,False,False,1,0,True,True,True,True,True,True,False,True,True,True,True,True,True
3255.0,High,1,3,8,1,15,missing,False,63,False,False,False,False,1,0,True,True,False,False,False,True,False,True,False,False,True,True,missing
991.0,Low,0,11,4,27,2,False,False,35,False,False,False,False,1,0,True,True,False,False,False,True,False,True,True,False,True,True,True
3940.0,High,1,1,1,2,1,missing,False,12,False,False,False,False,1,0,True,True,False,False,False,True,False,True,False,False,True,True,missing
1739.0,High,1,8,7,6,2,missing,False,31,False,False,False,False,1,0,True,True,False,True,True,True,False,True,True,False,True,True,True
