protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,study_eq_labels,url,study_duration_months,study_duration_years
NCT01646437,2951.0,3377.0,4,https://clinicaltrials.gov/study/NCT01646437,112.56666666666666,9.380555555555555
NCT03299244,694.0,694.0,1,https://clinicaltrials.gov/study/NCT03299244,23.133333333333333,1.9277777777777778
NCT03306394,1504.0,1504.0,2,https://clinicaltrials.gov/study/NCT03306394,50.13333333333333,4.177777777777778
NCT02776683,847.0,847.0,1,https://clinicaltrials.gov/study/NCT02776683,28.233333333333334,2.352777777777778
NCT06107790,1353.0,1353.0,2,https://clinicaltrials.gov/study/NCT06107790,45.1,3.7583333333333333
NCT01418937,955.0,955.0,1,https://clinicaltrials.gov/study/NCT01418937,31.833333333333332,2.6527777777777777
NCT02435537,669.0,669.0,0,https://clinicaltrials.gov/study/NCT02435537,22.3,1.8583333333333334
NCT03281096,1140.0,1280.0,2,https://clinicaltrials.gov/study/NCT03281096,42.666666666666664,3.5555555555555554
NCT01700959,1533.0,1533.0,2,https://clinicaltrials.gov/study/NCT01700959,51.1,4.258333333333334
NCT02893254,487.0,540.0,0,https://clinicaltrials.gov/study/NCT02893254,18.0,1.5
NCT02490488,2436.0,2436.0,4,https://clinicaltrials.gov/study/NCT02490488,81.2,6.766666666666667
NCT03610360,1470.0,1470.0,2,https://clinicaltrials.gov/study/NCT03610360,49.0,4.083333333333333
NCT01185470,1430.0,1977.0,3,https://clinicaltrials.gov/study/NCT01185470,65.9,5.491666666666667
NCT02383966,903.0,2334.0,4,https://clinicaltrials.gov/study/NCT02383966,77.8,6.483333333333333
NCT01806259,972.0,2038.0,3,https://clinicaltrials.gov/study/NCT01806259,67.93333333333334,5.661111111111111
NCT03388346,1252.0,1252.0,2,https://clinicaltrials.gov/study/NCT03388346,41.733333333333334,3.477777777777778
NCT01223027,1188.0,1188.0,2,https://clinicaltrials.gov/study/NCT01223027,39.6,3.3000000000000003
NCT01541930,244.0,244.0,0,https://clinicaltrials.gov/study/NCT01541930,8.133333333333333,0.6777777777777777
NCT01196390,3234.0,4565.0,4,https://clinicaltrials.gov/study/NCT01196390,152.16666666666666,12.680555555555555
NCT02367820,962.0,993.0,1,https://clinicaltrials.gov/study/NCT02367820,33.1,2.7583333333333333
NCT01976923,1703.0,1795.0,3,https://clinicaltrials.gov/study/NCT01976923,59.833333333333336,4.986111111111112
NCT02260505,3264.0,3264.0,4,https://clinicaltrials.gov/study/NCT02260505,108.8,9.066666666666666
NCT02898077,1216.0,1502.0,2,https://clinicaltrials.gov/study/NCT02898077,50.06666666666667,4.1722222222222225
NCT01922102,1099.0,1099.0,1,https://clinicaltrials.gov/study/NCT01922102,36.63333333333333,3.0527777777777776
NCT01661335,1854.0,1854.0,3,https://clinicaltrials.gov/study/NCT01661335,61.8,5.1499999999999995
NCT03350477,365.0,365.0,0,https://clinicaltrials.gov/study/NCT03350477,12.166666666666666,1.0138888888888888
NCT01265810,1369.0,1430.0,2,https://clinicaltrials.gov/study/NCT01265810,47.666666666666664,3.972222222222222
NCT02501954,3167.0,3167.0,4,https://clinicaltrials.gov/study/NCT02501954,105.56666666666666,8.797222222222222
NCT03800758,1510.0,1510.0,2,https://clinicaltrials.gov/study/NCT03800758,50.333333333333336,4.194444444444445
NCT04488874,974.0,1004.0,1,https://clinicaltrials.gov/study/NCT04488874,33.46666666666667,2.788888888888889
NCT03989037,1399.0,1399.0,2,https://clinicaltrials.gov/study/NCT03989037,46.63333333333333,3.886111111111111
NCT01969838,1011.0,1973.0,3,https://clinicaltrials.gov/study/NCT01969838,65.76666666666667,5.480555555555555
NCT04965350,372.0,391.0,0,https://clinicaltrials.gov/study/NCT04965350,13.033333333333333,1.086111111111111
NCT04546607,786.0,789.0,1,https://clinicaltrials.gov/study/NCT04546607,26.3,2.191666666666667
NCT03556956,1980.0,1980.0,3,https://clinicaltrials.gov/study/NCT03556956,66.0,5.5
NCT01572038,2667.0,2667.0,4,https://clinicaltrials.gov/study/NCT01572038,88.9,7.408333333333334
NCT02920008,1040.0,1173.0,2,https://clinicaltrials.gov/study/NCT02920008,39.1,3.2583333333333333
NCT04031703,1936.0,1936.0,3,https://clinicaltrials.gov/study/NCT04031703,64.53333333333333,5.377777777777777
NCT03781154,1348.0,1348.0,2,https://clinicaltrials.gov/study/NCT03781154,44.93333333333333,3.744444444444444
NCT03085095,920.0,1683.0,3,https://clinicaltrials.gov/study/NCT03085095,56.1,4.675
NCT02940262,1737.0,1737.0,3,https://clinicaltrials.gov/study/NCT02940262,57.9,4.825
NCT02819960,2344.0,2436.0,4,https://clinicaltrials.gov/study/NCT02819960,81.2,6.766666666666667
NCT03575351,1826.0,1826.0,3,https://clinicaltrials.gov/study/NCT03575351,60.86666666666667,5.072222222222222
NCT03776071,1170.0,1170.0,2,https://clinicaltrials.gov/study/NCT03776071,39.0,3.25
NCT03792984,304.0,394.0,0,https://clinicaltrials.gov/study/NCT03792984,13.133333333333333,1.0944444444444443
NCT06179732,209.0,209.0,0,https://clinicaltrials.gov/study/NCT06179732,6.966666666666667,0.5805555555555556
NCT01850303,1922.0,2451.0,4,https://clinicaltrials.gov/study/NCT01850303,81.7,6.808333333333334
NCT02576054,992.0,992.0,1,https://clinicaltrials.gov/study/NCT02576054,33.06666666666667,2.755555555555556
NCT02330471,424.0,424.0,0,https://clinicaltrials.gov/study/NCT02330471,14.133333333333333,1.1777777777777778
NCT01796002,2537.0,3633.0,4,https://clinicaltrials.gov/study/NCT01796002,121.1,10.091666666666667
NCT02484833,1764.0,1855.0,3,https://clinicaltrials.gov/study/NCT02484833,61.833333333333336,5.152777777777778
NCT02413580,1127.0,1127.0,1,https://clinicaltrials.gov/study/NCT02413580,37.56666666666667,3.130555555555556
NCT01924533,944.0,3492.0,4,https://clinicaltrials.gov/study/NCT01924533,116.4,9.700000000000001
NCT02753387,835.0,835.0,1,https://clinicaltrials.gov/study/NCT02753387,27.833333333333332,2.319444444444444
NCT01763164,872.0,2153.0,3,https://clinicaltrials.gov/study/NCT01763164,71.76666666666667,5.980555555555555
NCT01606098,3622.0,3805.0,4,https://clinicaltrials.gov/study/NCT01606098,126.83333333333333,10.569444444444445
NCT02979691,1278.0,1278.0,2,https://clinicaltrials.gov/study/NCT02979691,42.6,3.5500000000000003
