protocolSection_identificationModule_nctId,primary_study_duration_days,study_duration_days,primary_eq_bins,study_eq_bins,study_eq_labels,primary_eq_labels,number_of_conditions,number_of_groups,age_group,num_locations,location,num_inclusion,num_exclusion,number_of_intervention_types,sponsor_type,intervention_model,resp_party,has_dmc,phase,allocation,masking,enroll_count,healthy_vol,treatment_purpose,diagnostic_purpose,prevention_purpose,supportive_purpose,procedure_intervention,device_intervention,behavioral_intervention,drug_intervention,radiation_intervention,biological_intervention,os_outcome_measure,dor_outcome_measure,ae_outcome_measure,primary_max_days,secondary_max_days,max_treatment_duration,min_treatment_duration,survival_5yr_relative,conditions_category_num
NCT01859026,2061,2061.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,2,3,1,1,0,13.0,23.0,2,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,43,False,1,0,0,0,0,0,0,0,0,0,1,0,0,180.0,1095.0,49,14,0.99,1
NCT01752426,2061,2061.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,1,1,0,17.0,32.0,2,0,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,30,False,1,0,0,0,0,0,0,0,0,0,0,0,0,365.0,365.0,1095,730,0.65,4
NCT02194426,1330,1330.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,1,1,1,4,1,20.0,17.0,1,1,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,58,False,1,0,0,0,0,0,0,0,0,0,0,0,1,392.0,392.0,4320,14,0.68,11
NCT01040026,1431,2953.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,1,2,1,1,3.0,1.0,1,0,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,10,False,1,0,0,0,0,0,0,0,0,0,0,0,0,365.0,365.0,180,90,0.598,0
NCT02862457,1550,1550.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,2,7,1,0,1,15.0,45.0,8,1,1.0,1.0,0.0,['PHASE1'],0.0,0.0,34,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1191.0,8.0,49,14,0.99,1
NCT02353026,334,334.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,1,0,7.0,10.0,1,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,19,False,1,0,0,0,0,0,0,0,0,0,0,0,0,365.0,,4320,14,0.68,11
NCT02904226,1430,1430.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,1,8,1,16,0,13.0,32.0,4,1,1.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,242,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1395.0,,4320,14,0.68,11
NCT04522557,342,342.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,1,1,12.0,28.0,1,0,2.0,0.0,1.0,['PHASE1'],0.0,0.0,21,False,1,0,0,0,0,0,0,0,0,0,0,0,1,7.0,7.0,1825,365,0.99,5
NCT03292757,243,274.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,3,2,1,1,1,3.0,4.0,1,0,1.0,0.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,21,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,4320,14,0.68,11
NCT04176757,480,508.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,1,1,1,10,2,12.0,7.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,35,False,1,0,0,0,0,0,0,0,0,0,0,0,0,450.0,450.0,1825,365,0.99,5
NCT01740557,3005,3005.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,3,1,1,1,0,28.0,3.0,7,0,0.0,1.0,0.0,"['PHASE1', 'PHASE2']",0.0,0.0,10,False,1,0,0,0,0,0,0,0,0,0,0,0,1,365.0,56.0,730,150,0.94,8
NCT01721148,1522,1522.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,1,1,1,0,1,18.0,25.0,1,0,0.0,1.0,1.0,['PHASE1'],0.0,0.0,39,False,0,0,0,0,0,0,0,0,0,0,0,0,1,360.0,360.0,4320,14,0.68,11
NCT01740648,3229,3229.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,7,1,1,4,0,25.0,32.0,3,0,0.0,0.0,1.0,['PHASE1'],0.0,0.0,19,False,1,0,0,0,0,0,0,0,0,0,1,0,1,63.0,1825.0,4320,14,0.68,11
NCT02528357,1692,1692.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,3,1,8,2,33.0,37.0,2,1,2.0,1.0,0.0,['PHASE1'],0.0,0.0,141,False,1,0,0,0,0,0,0,0,0,0,0,0,1,735.0,735.0,4320,14,0.68,11
NCT04014257,532,539.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,2,1,1,4,1,8.0,6.0,1,1,0.0,1.0,0.0,['PHASE1'],0.0,0.0,17,False,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,730.0,4320,14,0.68,11
NCT04205357,957,957.0,"(761.0, 1359.667]","(929.333, 1594.0]",1,1,3,1,1,1,1,12.0,20.0,1,0,2.0,1.0,1.0,['PHASE1'],0.0,0.0,24,False,1,0,0,0,0,0,0,0,0,0,1,0,1,30.0,730.0,4320,1080,0.326,9
NCT01266057,3577,3577.0,"(1359.667, 4453.0]","(1594.0, 4453.0]",2,2,1,2,1,1,0,9.0,18.0,3,0,0.0,1.0,0.0,['PHASE1'],0.0,0.0,143,False,1,0,0,0,0,0,0,0,0,0,0,0,0,28.0,42.0,4320,14,0.68,11
NCT02156557,761,792.0,"(-0.001, 761.0]","(-0.001, 929.333]",0,0,3,1,1,1,0,6.0,11.0,1,0,0.0,2.0,1.0,['PHASE1'],0.0,0.0,45,False,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1080,360,0.175,2
NCT02035657,1520,1520.0,"(1359.667, 4453.0]","(929.333, 1594.0]",1,2,1,1,1,1,0,15.0,8.0,1,1,0.0,1.0,1.0,['PHASE1'],0.0,0.0,10,False,1,0,0,0,0,0,0,0,0,0,0,0,1,365.0,365.0,1440,360,0.99,3
